datetime,open,high,low,close,volume
28-05-2021 16:00,36751.59,36845.93,35551.06,35789.3,22911.38875
28-05-2021 20:00,35789.31,36240,34684,35663.49,21857.29173
29-05-2021 00:00,35661.79,36774.44,35617.87,36458.77,13503.57169
29-05-2021 04:00,36458.77,37338.58,35604.3,36145.02,14936.62768
29-05-2021 08:00,36145,36350,34567.89,35375,19419.6473
29-05-2021 12:00,35375,35402.34,33800,34416.27,28768.89807
29-05-2021 16:00,34416.26,35049,33632.76,34025.43,21833.74263
29-05-2021 20:00,34025.44,35100,33752.3,34605.15,14200.6053
30-05-2021 00:00,34605.15,34974.99,33379,34770.12,14272.27288
30-05-2021 04:00,34770.13,36232.09,34631.73,35998.33,16499.13536
30-05-2021 08:00,35996.12,36420,35546.42,36359.44,12233.87155
30-05-2021 12:00,36359.44,36488,35100,35477,13055.15016
30-05-2021 16:00,35477,36284.44,35300,36077.59,9731.034317
30-05-2021 20:00,36077.59,36350,35500,35641.27,7743.922704
31-05-2021 00:00,35641.26,36000,34250.55,34489.57,14130.86535
31-05-2021 04:00,34489.58,35975,34153.84,35850.17,16153.46864
31-05-2021 08:00,35850.17,37195,35588.08,36836.46,22947.48623
31-05-2021 12:00,36836.46,37278.03,36333.44,36961.16,18576.75977
31-05-2021 16:00,36961.16,37457.07,36510.01,36863.67,14199.65305
31-05-2021 20:00,36865.75,37499,36557.3,37253.81,8152.502258
01-06-2021 00:00,37253.82,37894.81,36478,36704.99,14647.05841
01-06-2021 04:00,36706.8,37443.72,36561.89,36831.58,10095.34783
01-06-2021 08:00,36831.58,36939.81,35902.43,36596.62,13819.88776
01-06-2021 12:00,36596.63,37440,35666,36235.29,22029.82561
01-06-2021 16:00,36235.28,36492.89,35716.66,35973.87,12918.45296
01-06-2021 20:00,35973.86,36800,35873.08,36693.09,7724.091195
02-06-2021 00:00,36694.85,36900,35920,36472.39,8003.519356
02-06-2021 04:00,36472.38,37400,36472.38,37220,12459.23472
02-06-2021 08:00,37219.99,37538.07,36851.45,37203.08,12842.3036
02-06-2021 12:00,37203.08,38225,37058.61,38040.7,17546.73298
02-06-2021 16:00,38040.69,38200,37727.37,37884.57,9291.591592
02-06-2021 20:00,37884.58,37929.97,37320,37568.68,7443.990253
03-06-2021 00:00,37568.68,37903.14,37170,37634.57,8381.714112
03-06-2021 04:00,37635.24,39039.19,37600,38634.09,16294.65854
